unixtime,load1,load2,load3,price
1432809900,0.115,0,0.679,31.05
1432810800,0.13,0,0.845,31.05
1432811700,0.16,0,0.239,31.04
1432812600,0.095,0,0.148,31.04
1432813500,0.1,0,0.167,31.04
1432814400,0.12,0.05,0.4,31.04
1432815300,0.1,0,0.036,27.95
1432816200,0.11,0.03,0,27.95
1432817100,0.095,0,0.17,27.95
1432818000,0.1,0.01,0,27.95
1432818900,0.095,0,0.02,25.16
1432819800,0.095,0,0.19,25.16
1432820700,0.115,0.03,0.008,25.16
1432821600,0.1,0,0.095,25.16
1432822500,0.11,0,0.139,25.07
1432823400,0.105,0,0.039,25.07
1432824300,0.1,0,0.244,25.07
1432825200,0.095,0,0.08,25.07
1432826100,0.095,0.01,0.126,26.18
1432827000,0.105,0.02,0.216,26.18
1432827900,0.09,0.02,0.086,26.18
1432828800,0.09,0,0.159,26.18
1432829700,0.085,0,0.213,26.29
1432830600,0.085,0,0.08,26.29
1432831500,0.11,0,0.362,26.29
1432832400,0.125,0,0.108,26.29
1432833300,0.1,0,0.155,30.58
1432834200,0.105,0.23,0.221,30.58
1432835100,0.09,0.2,0.091,30.58
1432836000,0.1,0,0.263,30.58
1432836900,0.1,0,0.078,34.08
1432837800,0.1,0.01,0.159,34.08
1432838700,0.105,0,0.193,34.08
1432839600,0.085,0,0.083,34.08
1432840500,0.11,0,0.244,37.99
1432841400,0.14,0,0.134,37.99
1432842300,0.13,0,0.151,37.99
1432843200,0.255,0.02,0.185,37.99
1432844100,0.135,0.105,0.06,37.82
1432845000,0.305,0.1,0.145,37.82
1432845900,0.195,0.13,0.146,37.82
1432846800,0.14,0.14,0.08,37.82
1432847700,0.145,0.18,0.191,37.95
1432848600,0.085,0.2,0.07,37.95
1432849500,0.105,0.215,0.151,37.95
